patent_id,title,abstract,filing_date,year
10000057,Composition for carbon capture using metal-organic frameworks,"This invention discloses composition for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-04-20,2022
10000058,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-19,2020
10000059,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-01-22,2018
10000060,Method for secure multi-party computation,"This invention discloses method for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-01-05,2020
10000061,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-12-13,2023
10000062,Device for OLED display fabrication,"This invention discloses device for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-16,2022
10000063,System and method for satellite collision avoidance,"This invention discloses system and method for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-06,2021
10000064,Process for image super-resolution,"This invention discloses process for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-08-06,2018
10000065,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-03-29,2023
10000066,System and method for wearable biosensor,"This invention discloses system and method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-11,2023
10000067,Method for carbon capture using metal-organic frameworks,"This invention discloses method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-03-09,2021
10000068,Process for carbon capture using metal-organic frameworks,"This invention discloses process for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-18,2024
10000069,Device for autonomous vehicle perception,"This invention discloses device for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-09-08,2021
10000070,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-09-22,2019
10000071,Device for OLED display fabrication,"This invention discloses device for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-08-30,2024
10000072,Device for lidar point-cloud filtering,"This invention discloses device for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-05-20,2024
10000073,System and method for neural network compression,"This invention discloses system and method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-10-17,2018
10000074,Device for wireless power transfer,"This invention discloses device for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-26,2018
10000075,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-09,2019
10000076,Apparatus for 5G beamforming optimization,"This invention discloses apparatus for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-01-29,2019
10000077,Device for OLED display fabrication,"This invention discloses device for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-25,2024
10000078,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-01-16,2019
10000079,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-22,2023
10000080,Device for edge computing resource scheduling,"This invention discloses device for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-09-01,2019
10000081,Method for wearable biosensor,"This invention discloses method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-11-10,2018
10000082,Device for autonomous vehicle perception,"This invention discloses device for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-03-19,2023
10000083,Process for battery thermal management,"This invention discloses process for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-04-12,2019
10000084,Device for edge computing resource scheduling,"This invention discloses device for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-09,2021
10000085,Apparatus for carbon capture using metal-organic frameworks,"This invention discloses apparatus for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-01-29,2020
10000086,Method for gene editing with CRISPR variants,"This invention discloses method for gene editing with crispr variants. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-04-23,2019
10000087,Composition for robotic grasp planning,"This invention discloses composition for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-17,2023
10000088,System and method for wireless power transfer,"This invention discloses system and method for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-28,2019
10000089,Composition for carbon capture using metal-organic frameworks,"This invention discloses composition for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-20,2018
10000090,Process for carbon capture using metal-organic frameworks,"This invention discloses process for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-12-19,2018
10000091,Composition for image super-resolution,"This invention discloses composition for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-10,2023
10000092,Apparatus for edge computing resource scheduling,"This invention discloses apparatus for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-05-21,2024
10000093,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-24,2023
10000094,Composition for robotic grasp planning,"This invention discloses composition for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-22,2023
10000095,Process for lidar point-cloud filtering,"This invention discloses process for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-03-16,2024
10000096,Process for 5G beamforming optimization,"This invention discloses process for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-11,2023
10000097,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-09-11,2023
10000098,Apparatus for edge computing resource scheduling,"This invention discloses apparatus for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-05-18,2022
10000099,Apparatus for edge computing resource scheduling,"This invention discloses apparatus for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-12-20,2018
10000100,Device for speech-to-text noise robustness,"This invention discloses device for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-05-28,2021
10000101,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-12-17,2019
10000102,Device for autonomous vehicle perception,"This invention discloses device for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-12-04,2024
10000103,System and method for 5G beamforming optimization,"This invention discloses system and method for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-07-11,2018
10000104,Process for autonomous vehicle perception,"This invention discloses process for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-07-26,2018
10000105,Process for robotic grasp planning,"This invention discloses process for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-02-22,2019
10000106,Method for carbon capture using metal-organic frameworks,"This invention discloses method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-21,2022
10000107,Method for drug delivery via nanoparticles,"This invention discloses method for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-29,2022
10000108,Method for quantum error correction,"This invention discloses method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-04-25,2023
10000109,Device for 5G beamforming optimization,"This invention discloses device for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-10-02,2020
10000110,Device for satellite collision avoidance,"This invention discloses device for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-21,2022
10000111,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-13,2021
10000112,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-06-11,2024
10000113,System and method for lidar point-cloud filtering,"This invention discloses system and method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-11-10,2021
10000114,Device for carbon capture using metal-organic frameworks,"This invention discloses device for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-02-08,2024
10000115,Apparatus for edge computing resource scheduling,"This invention discloses apparatus for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-12-12,2018
10000116,Process for wearable biosensor,"This invention discloses process for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-03-08,2021
10000117,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-06,2018
10000118,Process for autonomous vehicle perception,"This invention discloses process for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-09-03,2018
10000119,Composition for autonomous vehicle perception,"This invention discloses composition for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-13,2023
10000120,Composition for secure multi-party computation,"This invention discloses composition for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-05-05,2024
10000121,Process for drug delivery via nanoparticles,"This invention discloses process for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-03-27,2022
10000122,System and method for image super-resolution,"This invention discloses system and method for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-02-06,2019
10000123,Apparatus for speech-to-text noise robustness,"This invention discloses apparatus for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-05-29,2020
10000124,Process for wearable biosensor,"This invention discloses process for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-10-27,2023
10000125,Composition for speech-to-text noise robustness,"This invention discloses composition for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-09-04,2022
10000126,Device for drug delivery via nanoparticles,"This invention discloses device for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-10-04,2023
10000127,Method for low-latency video coding,"This invention discloses method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-08,2024
10000128,System and method for secure multi-party computation,"This invention discloses system and method for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-04-01,2021
10000129,System and method for edge computing resource scheduling,"This invention discloses system and method for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-14,2023
10000130,System and method for edge computing resource scheduling,"This invention discloses system and method for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-06-02,2020
10000131,Method for solid-state battery electrolyte,"This invention discloses method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-05-25,2023
10000132,Device for robotic grasp planning,"This invention discloses device for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-06-28,2019
10000133,Composition for image super-resolution,"This invention discloses composition for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-09-03,2019
10000134,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-06-08,2022
10000135,Composition for OLED display fabrication,"This invention discloses composition for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-12-29,2018
10000136,Composition for edge computing resource scheduling,"This invention discloses composition for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-17,2024
10000137,Process for wearable biosensor,"This invention discloses process for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-06-20,2024
10000138,Device for satellite collision avoidance,"This invention discloses device for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-18,2018
10000139,Apparatus for secure multi-party computation,"This invention discloses apparatus for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-25,2022
10000140,System and method for solid-state battery electrolyte,"This invention discloses system and method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-01-10,2020
10000141,System and method for wireless power transfer,"This invention discloses system and method for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-04-15,2019
10000142,Method for drug delivery via nanoparticles,"This invention discloses method for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-06-10,2021
10000143,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-05-05,2021
10000144,System and method for gene editing with CRISPR variants,"This invention discloses system and method for gene editing with crispr variants. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-11,2019
10000145,Device for satellite collision avoidance,"This invention discloses device for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-08-29,2023
